"","Season","TotGoals","TotBehinds","AveAttendence","Score","Row","Accuracy"
"1",1897,1700,2558,545.161290322581,40.8064516129032,1,0.399248473461719
"2",1898,2086,3348,423.685714285714,45.2428571428571,2,0.383879278616121
"3",1899,1920,3248,69.8985507246377,41.7246376811594,3,0.371517027863777
"4",1900,2288,3296,NA,49.3714285714286,4,0.40974212034384
"5",1901,2298,3170,NA,47.943661971831,5,0.420263350402341
"6",1902,2332,3480,1115.44444444444,48.5972222222222,6,0.401238816242257
"7",1903,2504,3498,900.887323943662,51.7042253521127,7,0.417194268577141
"8",1904,2554,3202,1037.85915492958,51.4647887323944,8,0.443710910354413
"9",1905,2684,3662,1222.22222222222,55.3888888888889,9,0.422943586511188
"10",1906,2836,3900,956.859154929577,58.169014084507,10,0.421021377672209
"11",1907,2578,3822,NA,53.8450704225352,11,0.4028125
"12",1908,3966,4874,1159,61.1505376344086,12,0.448642533936652
"13",1909,3740,5002,2806.90425531915,58.1382978723404,13,0.427819720887669
"14",1910,3616,5090,2345.62765957447,57.4148936170213,14,0.4153457385711
"15",1911,3636,4952,2840.03225806452,57.2688172043011,15,0.423381462505822
"16",1912,3846,5558,NA,61.3936170212766,16,0.408974904296044
"17",1913,4082,5558,3588.97872340426,63.3510638297872,17,0.42344398340249
"18",1914,3920,5384,2604.3085106383,61.2659574468085,18,0.421324161650903
"19",1915,3108,4594,2453.57894736842,62.9868421052632,19,0.403531550246689
"20",1916,1406,1678,2075.53571428571,70.5714285714286,20,0.455901426718547
"21",1917,2052,3074,1689.95918367347,62.8163265306122,21,0.400312134217714
"22",1918,2380,3726,1758.52542372881,61.6779661016949,22,0.389780543727481
"23",1919,3300,4784,2885.64473684211,66.0263157894737,23,0.408213755566551
"24",1920,3734,4424,3951.10526315789,70.4078947368421,24,0.457710223093896
"25",1921,3476,4774,17642.8684210526,67.25,25,0.421333333333333
"26",1922,3738,5006,20158.8157894737,73.7368421052632,26,0.427493138151876
"27",1923,3582,4804,20327.4736842105,68.7894736842105,27,0.427140472215597
"28",1924,3900,5190,21106.0641025641,74.0769230769231,28,0.429042904290429
"29",1925,5554,6138,17654.1132075472,73.8207547169811,29,0.475025658569962
"30",1926,6166,7492,17561.0803571429,78.4910714285714,30,0.451457021525846
"31",1927,6024,6902,16775.3873873874,77.3063063063063,31,0.466037443911496
"32",1928,6604,7414,18334.2142857143,83.0178571428571,32,0.471108574689685
"33",1929,6540,7150,17067.3303571429,82.3392857142857,33,0.477720964207451
"34",1930,6728,7482,16756.0535714286,86.3660714285714,34,0.473469387755102
"35",1931,6330,7282,15939.9553571429,80.75,35,0.465030855127828
"36",1932,6954,7668,16758.6875,86.8035714285714,36,0.475584735330324
"37",1933,7038,7428,17344.4642857143,90.8571428571429,37,0.486520116134384
"38",1934,7598,8084,16959.8839285714,98.1964285714286,38,0.484504527483739
"39",1935,7268,7902,16994.1785714286,93.1071428571429,39,0.47910349373764
"40",1936,7380,8314,16111.0267857143,95.9375,40,0.470243405122977
"41",1937,7342,8086,15911.2053571429,94.3214285714286,41,0.475887995851698
"42",1938,7592,8102,17669.0178571429,96.5714285714286,42,0.483751752262011
"43",1939,7814,8332,16922.9910714286,98.5714285714286,43,0.483958875263223
"44",1940,7402,8548,14258.4464285714,94.25,44,0.464075235109718
"45",1941,7750,8030,13589.3214285714,97.8035714285714,45,0.491128010139417
"46",1942,5682,5912,9416.66666666667,96.4642857142857,46,0.490081076418837
"47",1943,5162,5746,11561.4166666667,88.3095238095238,47,0.473230656398973
"48",1944,7064,7944,13940.1071428571,89.0357142857143,48,0.470682302771855
"49",1945,7714,8514,15523.0725806452,88.8306451612903,49,0.47535124476214
"50",1946,7892,8478,20082.8739495798,94.2857142857143,50,0.482101405009163
"51",1947,7242,8246,19894.406779661,88.5169491525424,51,0.467587809917355
"52",1948,7404,7842,20187.781512605,88.0168067226891,52,0.485635576544667
"53",1949,6988,8094,18764.8644067797,85.5,53,0.463333775361358
"54",1950,6864,7698,21354.0982142857,88.4464285714286,54,0.471363823650597
"55",1951,6242,7056,21049.8571428571,80.1428571428571,55,0.469393893818619
"56",1952,5966,7314,21372.4830508475,73.4661016949153,56,0.449246987951807
"57",1953,5750,6712,21139.7232142857,75.9821428571429,57,0.461402664098861
"58",1954,6048,7228,23906.5625,79.2053571428571,58,0.455558903284122
"59",1955,6060,7064,23697.6607142857,79.1339285714286,59,0.461749466626029
"60",1956,5832,7054,24654.8392857143,74.5446428571429,60,0.452584199906876
"61",1957,6480,7308,25588.6607142857,82.9910714285714,61,0.469973890339426
"62",1958,6342,7556,24255.8392857143,82.1160714285714,62,0.456324651028925
"63",1959,6688,7476,24211.0625,85.4107142857143,63,0.472182999152782
"64",1960,5706,6758,23359.1071428571,73.1160714285714,64,0.457798459563543
"65",1961,6002,7060,26743.6785714286,77.0267857142857,65,0.459500842137498
"66",1962,6066,6494,28175.1061946903,76.5486725663717,66,0.48296178343949
"67",1963,5900,6914,27738.1517857143,77.2589285714286,67,0.460433900421414
"68",1964,5914,7488,25997.9285714286,76.6517857142857,68,0.441277421280406
"69",1965,5966,6848,26224.625,76.9464285714286,69,0.465584516934603
"70",1966,6258,7136,26361.875,81.6875,70,0.467224130207556
"71",1967,6432,7068,25211.6607142857,82.5446428571429,71,0.476444444444444
"72",1968,7508,8602,22997.0322580645,86.7661290322581,72,0.466045934202359
"73",1969,8982,8892,23572.7096774194,102.120967741935,73,0.502517623363545
"74",1970,8614,9230,24425.9191176471,91.6838235294118,74,0.482739296121946
"75",1971,9424,9378,24459.0882352941,98.1029411764706,75,0.501223274119775
"76",1972,9512,9386,25373.0071942446,96.1798561151079,76,0.50333368610435
"77",1973,9818,9488,24193.1014492754,99.6811594202899,77,0.508546565834456
"78",1974,9210,9878,23504.347826087,96.1449275362319,78,0.482502095557418
"79",1975,9376,10232,23232,97.2028985507246,79,0.478172174622603
"80",1976,9918,9668,23829.4927536232,100.369565217391,80,0.506382109670173
"81",1977,10342,10054,23771.3741007194,102.89928057554,81,0.507060207883899
"82",1978,10604,9896,25203.0072463768,108.18115942029,82,0.517268292682927
"83",1979,10850,10682,25900.5869565217,111.195652173913,83,0.503901170351105
"84",1980,10208,10466,27325.4855072464,106.275362318841,84,0.493760278610816
"85",1981,9928,10376,27755.2971014493,104.384057971014,85,0.488967691095351
"86",1982,11446,10752,26677.9420289855,117.572463768116,86,0.515632038922425
"87",1983,10694,9906,26362.4420289855,109.572463768116,87,0.519126213592233
"88",1984,10622,9888,24598.3405797101,106.54347826087,88,0.517893710385178
"89",1985,10812,9744,22559.2246376812,109.536231884058,89,0.525977816695855
"90",1986,10572,9652,24605.8768115942,106.971014492754,90,0.522745253164557
"91",1987,12642,11320,21370.43125,111.45,91,0.527585343460479
"92",1988,11502,11208,22055.4875,102.1875,92,0.506472919418758
"93",1989,11304,11076,22386.3875,101.98125,93,0.505093833780161
"94",1990,12022,11292,25237.7950310559,104.186335403727,94,0.515655829115553
"95",1991,13030,12218,24295.8372093023,106.924418604651,95,0.516080481622307
"96",1992,13418,11840,27989.9127906977,108.389534883721,96,0.531237627682319
"97",1993,12522,10626,29665.5350318471,109.433121019108,97,0.540953862104718
"98",1994,12662,11646,30099.9885057471,100.747126436782,98,0.520898469639625
"99",1995,12882,11668,30879.4216216216,97.3675675675676,99,0.524725050916497
"100",1996,13624,11512,30783.3567567568,101.767567567568,100,0.542011457670274
"101",1997,12946,11932,34615.2108108108,97.3783783783784,101,0.520379451724415
"102",1998,12932,11654,36172.4162162162,98.3243243243243,102,0.525990401041243
"103",1999,13410,11644,33749.1135135135,100.07027027027,103,0.535243873233815
"104",2000,14890,11882,34093.9081081081,109.124324324324,104,0.556178096518751
"105",2001,13386,11520,34851.6756756757,99.0324324324324,105,0.537460852806553
"106",2002,13422,11318,32935.0648648649,100.389189189189,106,0.542522231204527
"107",2003,13244,11276,34333.2702702703,98.6054054054054,107,0.540130505709625
"108",2004,13450,10774,34423.227027027,98.7837837837838,108,0.555234478203435
"109",2005,13710,11286,36561.3621621622,101.664864864865,109,0.548487758041287
"110",2006,12792,11692,36412.0756756757,96.172972972973,110,0.522463649730436
"111",2007,13160,12070,38107.8108108108,99.0918918918919,111,0.521601268331352
"112",2008,13420,12196,38286.5675675676,101.389189189189,112,0.523891317926296
"113",2009,12952,10932,37760.4540540541,95.5243243243243,113,0.54228772399933
"114",2010,12950,11598,38423.3225806452,95.2258064516129,114,0.527537884960078
"115",2011,13570,12054,36427.8265306122,97.6224489795918,115,0.529581642210428
"116",2012,14434,13136,32747.9420289855,96.6425120772947,116,0.523540079796881
"117",2013,14132,12508,33460.7729468599,94.719806763285,117,0.53048048048048
"118",2014,13400,11824,33680.4782608696,90.3188405797101,118,0.531240088804313
"119",2015,13150,11384,33352.5776699029,89.4805825242718,119,0.53599086981332
"120",2016,14264,12246,33188.4009661836,94.2705314009662,120,0.538061109015466
"121",2017,13720,12374,35206.6570048309,92.4541062801932,121,0.525791369663524
"122",2018,12732,11910,36687.4492753623,86.0289855072464,122,0.516678841003165
"123",2019,12152,11736,36317.1352657005,82.2898550724638,123,0.508707300736772
"124",2020,7592,6430,6376.77160493827,63.9012345679012,124,0.541434888033091
"125",2021,12126,10676,18748.797029703,81.6089108910891,125,0.5317954565389
