"","player_team","match_date","Season","Round","Home.Team","Away.Team","Time","Tackles","Goals","Behinds","Accuracy"
"1","Adelaide","2000-03-11",2000,"1","Adelaide","Western Bulldogs","14:50:00",25,15,16,0.483870967741935
"2","Adelaide","2000-03-19",2000,"2","Collingwood","Adelaide","14:10:00",27,13,11,0.541666666666667
"3","Adelaide","2000-03-25",2000,"3","Adelaide","Geelong","19:10:00",14,14,11,0.56
"4","Adelaide","2000-04-01",2000,"4","West Coast","Adelaide","20:10:00",22,10,11,0.476190476190476
"5","Adelaide","2000-04-08",2000,"5","Brisbane Lions","Adelaide","19:40:00",25,13,13,0.5
"6","Adelaide","2000-04-16",2000,"6","Adelaide","Hawthorn","14:50:00",31,22,8,0.733333333333333
"7","Adelaide","2000-04-23",2000,"7","Port Adelaide","Adelaide","13:40:00",34,14,11,0.56
"8","Adelaide","2000-04-29",2000,"8","St Kilda","Adelaide","14:10:00",39,14,20,0.411764705882353
"9","Adelaide","2000-05-06",2000,"9","Adelaide","North Melbourne","19:10:00",32,19,7,0.730769230769231
"10","Adelaide","2000-05-14",2000,"10","Essendon","Adelaide","14:10:00",40,12,8,0.6
"11","Adelaide","2000-05-21",2000,"11","Adelaide","Melbourne","14:10:00",41,15,12,0.555555555555556
"12","Adelaide","2000-05-27",2000,"12","Adelaide","Sydney","19:10:00",43,14,8,0.636363636363636
"13","Adelaide","2000-06-02",2000,"13","Richmond","Adelaide","19:40:00",26,17,16,0.515151515151515
"14","Adelaide","2000-06-11",2000,"14","Adelaide","Fremantle","20:10:00",36,22,9,0.709677419354839
"15","Adelaide","2000-06-17",2000,"15","Carlton","Adelaide","14:10:00",35,14,8,0.636363636363636
"16","Adelaide","2000-06-25",2000,"16","Western Bulldogs","Adelaide","14:10:00",28,10,8,0.555555555555556
"17","Adelaide","2000-07-02",2000,"17","Adelaide","Collingwood","14:50:00",20,22,13,0.628571428571429
"18","Adelaide","2000-07-08",2000,"18","Geelong","Adelaide","14:10:00",39,14,14,0.5
"19","Adelaide","2000-07-14",2000,"19","Adelaide","West Coast","20:10:00",30,15,16,0.483870967741935
"20","Adelaide","2000-07-23",2000,"20","Adelaide","Brisbane Lions","13:40:00",21,11,11,0.5
"21","Adelaide","2000-07-29",2000,"21","Hawthorn","Adelaide","14:10:00",28,9,10,0.473684210526316
"22","Adelaide","2000-08-06",2000,"22","Adelaide","Port Adelaide","14:10:00",33,14,8,0.636363636363636
"23","Adelaide","2001-04-01",2001,"1","Sydney","Adelaide","14:10:00",19,10,11,0.476190476190476
"24","Adelaide","2001-04-07",2001,"2","Adelaide","Melbourne","19:10:00",47,11,11,0.5
"25","Adelaide","2001-04-15",2001,"3","Adelaide","Port Adelaide","13:40:00",49,13,9,0.590909090909091
"26","Adelaide","2001-04-21",2001,"4","Carlton","Adelaide","14:10:00",37,9,6,0.6
"27","Adelaide","2001-04-28",2001,"5","Adelaide","North Melbourne","19:10:00",32,12,16,0.428571428571429
"28","Adelaide","2001-05-06",2001,"6","Hawthorn","Adelaide","14:10:00",26,12,17,0.413793103448276
"29","Adelaide","2001-05-12",2001,"7","Adelaide","Fremantle","19:10:00",32,14,14,0.5
"30","Adelaide","2001-05-18",2001,"8","Richmond","Adelaide","19:40:00",41,17,14,0.548387096774194
"31","Adelaide","2001-05-26",2001,"9","Brisbane Lions","Adelaide","19:40:00",30,19,10,0.655172413793103
"32","Adelaide","2001-06-03",2001,"10","Adelaide","Geelong","13:40:00",31,9,10,0.473684210526316
"33","Adelaide","2001-06-09",2001,"11","Adelaide","Western Bulldogs","19:10:00",54,14,12,0.538461538461538
"34","Adelaide","2001-06-15",2001,"12","Essendon","Adelaide","19:40:00",35,11,4,0.733333333333333
"35","Adelaide","2001-06-30",2001,"13","Adelaide","Collingwood","19:10:00",23,14,12,0.538461538461538
"36","Adelaide","2001-07-07",2001,"14","Adelaide","West Coast","19:10:00",29,8,13,0.380952380952381
"37","Adelaide","2001-07-13",2001,"15","St Kilda","Adelaide","19:40:00",55,23,14,0.621621621621622
"38","Adelaide","2001-07-22",2001,"16","Adelaide","Sydney","13:40:00",32,7,12,0.368421052631579
"39","Adelaide","2001-07-28",2001,"17","Melbourne","Adelaide","14:10:00",34,15,7,0.681818181818182
"40","Adelaide","2001-08-05",2001,"18","Port Adelaide","Adelaide","13:40:00",40,15,8,0.652173913043478
"41","Adelaide","2001-08-11",2001,"19","Adelaide","Carlton","19:10:00",37,16,5,0.761904761904762
"42","Adelaide","2001-08-17",2001,"20","North Melbourne","Adelaide","19:40:00",27,25,9,0.735294117647059
"43","Adelaide","2001-08-26",2001,"21","Adelaide","Hawthorn","13:40:00",56,13,10,0.565217391304348
"44","Adelaide","2001-09-01",2001,"22","Fremantle","Adelaide","18:40:00",35,11,12,0.478260869565217
"45","Adelaide","2001-09-08",2001,"Elimination Final","Carlton","Adelaide","14:30:00",36,6,12,0.333333333333333
